Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
67,male,2,own,moderate,little,1169,6,radio/TV,good
22,female,2,own,little,moderate,5951,48,radio/TV,bad
49,male,1,own,little,moderate,2096,12,education,good
45,male,2,free,little,little,7882,42,furniture/equipment,good
53,male,2,free,little,little,4870,24,car,bad
35,male,1,free,moderate,moderate,9055,36,education,good
53,male,2,own,quite rich,moderate,2835,24,furniture/equipment,good
35,male,3,rent,little,moderate,6948,36,car,good
61,male,1,own,rich,moderate,3059,12,radio/TV,good
28,male,3,own,little,moderate,5234,30,car,bad
25,female,2,rent,little,moderate,1295,12,car,bad
24,female,2,rent,little,little,4308,48,business,bad
22,female,2,own,little,moderate,1567,12,radio/TV,good
60,male,1,own,little,little,1199,24,car,bad
28,female,2,rent,little,little,1403,15,car,good
32,female,1,own,moderate,little,1282,24,radio/TV,bad
53,male,2,own,moderate,moderate,2424,24,radio/TV,good
25,male,2,own,moderate,little,8072,30,business,good
44,female,3,free,little,moderate,12579,24,car,bad
31,male,2,own,quite rich,moderate,3430,24,radio/TV,good
48,male,2,own,little,moderate,2134,9,car,good
44,male,2,rent,quite rich,little,2647,6,radio/TV,good
48,male,1,rent,little,little,2241,10,car,good
44,male,2,own,moderate,moderate,1804,12,car,good
26,male,2,own,moderate,moderate,2069,10,furniture/equipment,good
36,male,1,own,little,little,1374,6,furniture/equipment,good
39,male,1,own,little,moderate,426,6,radio/TV,good
42,female,2,rent,rich,rich,409,12,radio/TV,good
34,male,2,own,little,moderate,2415,7,radio/TV,good
63,male,2,own,little,little,6836,60,business,bad
36,male,2,own,rich,moderate,1913,18,business,good
27,male,2,own,little,little,4020,24,furniture/equipment,good
30,male,2,own,moderate,moderate,5866,18,car,good
57,male,1,rent,moderate,moderate,1264,12,business,good
33,female,3,own,little,rich,1474,12,furniture/equipment,good
25,male,1,own,little,moderate,4746,45,radio/TV,bad
31,male,2,free,little,moderate,6110,48,education,good
